,avx,avy,avdxy,id,frame
0,1004.825,23.232142857142854,0.3160657315654523,0,1334
1,422.15714285714296,36.1,0.3198816391082033,1,1334
3,52.81867517278043,263.7914960127592,9.384181055725776,5,1334
4,417.0516978609626,265.08151069518715,9.497301055205844,7,1334
17,870.4792380952382,264.3262380952381,6.858725574647783,9,1334
19,328.92531725273665,268.06777002809264,9.488621692152837,12,1334
22,479.5277093301435,266.78144138755977,9.116374170707658,13,1334
44,225.22993408042188,268.0362063282795,9.82938633028438,14,1334
48,576.1756756756756,267.4154213036566,9.532254682555472,15,1334
56,1466.9522926349014,269.53874422678774,7.370495517009865,17,1334
60,347.98727383229715,268.6741361788618,9.261103941037055,18,1334
63,499.42912559618446,269.37556792086207,9.09055562606932,19,1334
86,655.8340283821819,269.2809509156197,9.43234244253976,21,1334
94,608.3327615634068,270.2330209933436,9.73688856970931,22,1334
102,635.2391280566281,269.9505426855427,9.581432375775536,23,1334
110,758.4573197263095,268.9488377564465,8.687167223752933,24,1334
112,445.23640056022407,271.1294924030218,9.192899866381943,25,1334
134,591.9580375180376,270.7766810966811,9.402326704015508,26,1334
142,864.6911462939191,272.76602434269955,9.19471462084649,27,1334
144,366.10625,271.5376526487788,9.712581986085361,28,1334
155,557.4538743761898,271.3833558419509,9.44957949201232,29,1334
163,1254.459909603772,273.94211690843883,8.313769748383145,30,1334
164,724.050242384453,272.4152933274644,9.389024030046052,32,1334
166,1026.8701213818863,273.752789449113,8.928915451145482,35,1334
167,248.15747747747747,276.1810644573145,8.989108677142928,37,1334
170,771.5967319500422,275.8222381118243,9.31658915543449,38,1334
171,823.1507404951371,276.36582854406134,9.335237858798774,39,1334
173,406.6007995925643,277.0033409727527,9.330539063499128,41,1334
194,910.142735042735,276.74910714285716,9.369003988685352,42,1334
195,1105.235974025974,278.4902380952381,9.111579557343777,43,1334
203,34.78421052631579,278.2729323308271,10.033261664346401,44,1334
204,710.1012626262625,278.60656565656564,9.167039076727391,45,1334
214,743.5330505050504,276.443797979798,9.159021897187317,46,1334
220,1010.92769348659,277.8952337164751,9.506646737817327,47,1334
221,1203.9319423879392,277.3827567640329,8.653568080157237,48,1334
225,281.0686176980914,279.00338153074995,9.38572566254184,50,1334
228,923.8636752136752,278.79760683760685,9.106567058558213,51,1334
231,1070.4375502571297,279.05869097709206,9.26832459344024,52,1334
233,836.5381866209752,279.74123081316486,8.863881306710365,53,1334
235,853.647507054349,278.9803084634664,9.277573208627885,54,1334
237,689.9072611171456,281.1867351305092,9.686795456952357,55,1334
244,1226.1228644688645,280.9109980607628,8.907893948496483,56,1334
245,1240.0251564027371,281.8962267839687,8.972620945766263,57,1334
246,984.1987555196008,282.2091963143838,8.886198993461774,58,1334
247,997.6195184764149,283.2576537128261,9.206678401939104,59,1334
248,1126.7918452380952,283.0997885878489,8.745853628238997,60,1334
252,1175.5137459667626,283.12987891614335,8.922064355022789,61,1334
261,1297.971526862831,283.439203630508,9.241658782604087,62,1334
268,1374.6945767195768,282.4979428936325,8.549551865889654,63,1334
273,85.10659799970145,283.43179579041646,9.750343985076112,64,1334
276,528.5364412416851,283.5774106922887,9.20527601109849,66,1334
287,547.0255276010538,283.8176929503245,9.442441150407575,67,1334
290,784.6054701339997,283.79837837837835,9.365262662088263,68,1334
292,950.2348677248677,283.95597883597884,9.505180489186813,69,1334
293,1331.2834057971015,283.49637681159425,9.068965320140837,70,1334
299,487.15358703312194,285.6974982381959,9.443374382913232,72,1334
318,594.9970908318735,287.07812815204113,9.264540802835109,73,1334
319,1049.005716276061,284.87095072233,8.878916495192211,74,1334
321,1154.734324629751,283.066667327531,7.949177956932344,75,1334
322,1456.4781847781846,285.3814814814815,8.37228565336192,76,1334
325,756.2593172268907,286.5437289915966,9.082395569187579,77,1334
327,1139.5283921568628,285.49670588235296,8.854627481785919,78,1334
330,1387.646002502781,286.38658794162825,8.576837925381378,79,1334
334,972.3757575757576,287.51034090909087,9.089219689432536,80,1334
335,1018.1464141122036,287.2741902834008,9.269710006016098,81,1334
336,231.31190170548325,288.0551647411211,9.492770061006896,82,1334
340,1089.106279041956,288.51282819787446,9.07655067273555,83,1334
348,456.79336968547494,288.87922442566406,8.94637027283861,86,1334
372,581.5639380579651,288.67493173593755,8.98362027005551,87,1334
387,1522.0346405228756,288.6545751633987,8.853435053321846,88,1334
389,1431.505165366035,289.5274371361328,8.803121963630785,89,1334
