,x,y,particle_id,frame_number
64,1470.0652173913043,261.32608695652175,64.0,520
90,899.6363636363636,273.85858585858585,90.0,520
93,871.7037037037037,273.5740740740741,93.0,520
110,1488.0454545454545,280.04545454545456,110.0,520
111,1243.2,280.0,111.0,520
183,1455.1632653061224,260.8979591836735,64.0,521
217,907.75,273.4583333333333,90.0,521
222,875.1176470588235,274.5882352941176,93.0,521
235,1473.8809523809523,279.42857142857144,110.0,521
237,1228.0,280.5,111.0,521
174,1185.68,258.44,174.0,521
216,893.7692307692307,272.5,216.0,521
322,1440.2115384615386,260.8076923076923,64.0,522
348,909.5862068965517,271.3448275862069,90.0,522
347,878.6153846153846,272.12820512820514,93.0,522
368,1459.5526315789473,277.8157894736842,110.0,522
371,1213.6666666666667,279.6666666666667,111.0,522
311,1174.0655737704917,258.8196721311475,174.0,522
351,894.140350877193,273.03508771929825,216.0,522
312,1189.5,258.2,312.0,522
313,1305.7777777777778,257.44444444444446,313.0,522
341,1412.642857142857,269.14285714285717,341.0,522
354,865.1632653061224,274.16326530612247,354.0,522
378,1476.3333333333333,282.8888888888889,378.0,522
382,1388.0,287.5,382.0,522
387,1379.3846153846155,288.38461538461536,387.0,522
452,1425.6603773584907,260.0377358490566,64.0,523
478,912.6491228070175,270.43859649122805,90.0,523
488,880.0784313725491,272.54901960784315,93.0,523
500,1445.5111111111112,277.4,110.0,523
496,1216.4117647058824,276.29411764705884,111.0,523
436,1174.5714285714287,257.9047619047619,174.0,523
482,894.75,271.4166666666667,216.0,523
418,1188.2608695652175,253.5,312.0,523
438,1304.0,256.84615384615387,313.0,523
474,1402.774193548387,268.2903225806452,341.0,523
487,866.12,272.44,354.0,523
512,1460.0,281.84615384615387,378.0,523
520,1380.3,287.35,382.0,523
519,1370.6923076923076,287.53846153846155,387.0,523
451,1346.8444444444444,260.0,451.0,523
497,1343.063829787234,275.531914893617,497.0,523
499,1306.5,276.92857142857144,499.0,523
501,1288.0,278.5,501.0,523
505,1238.0,279.5,505.0,523
515,1420.462962962963,283.6666666666667,515.0,523
517,1396.0,284.5,517.0,523
522,1347.6451612903227,288.80645161290323,522.0,523
582,1410.8653846153845,259.6730769230769,64.0,524
605,914.5,269.3636363636364,90.0,524
610,881.0,271.0,93.0,524
622,1432.0975609756097,277.3658536585366,110.0,524
621,1203.8148148148148,276.5925925925926,111.0,524
576,1160.8125,258.0,174.0,524
604,897.8813559322034,270.20338983050846,216.0,524
548,1173.076923076923,253.6153846153846,312.0,524
559,1289.095238095238,255.9047619047619,313.0,524
600,1392.857142857143,266.92857142857144,341.0,524
613,866.34,272.6,354.0,524
631,1447.5416666666667,281.9583333333333,378.0,524
637,1366.8823529411766,286.5882352941176,382.0,524
636,1358.1904761904761,286.42857142857144,387.0,524
581,1331.8333333333333,259.5,451.0,524
618,1329.6666666666667,275.04761904761904,497.0,524
623,1293.1538461538462,277.03846153846155,499.0,524
624,1275.4285714285713,278.5357142857143,501.0,524
628,1228.0,279.5,505.0,524
