,x,y,particle_id,frame_number
3,269.6923076923077,236.92307692307693,3.0,460
4,311.8378378378378,236.64864864864865,4.0,460
12,296.82142857142856,238.67857142857142,12.0,460
13,380.3142857142857,238.62857142857143,13.0,460
73,287.1764705882353,253.85294117647058,73.0,460
83,246.71052631578948,254.97368421052633,83.0,460
85,346.5681818181818,255.0909090909091,85.0,460
86,360.7,255.1,86.0,460
105,394.9,257.3,105.0,460
132,1281.6216216216217,259.7567567567568,132.0,460
160,279.0952380952381,238.14285714285714,3.0,461
161,323.5416666666667,237.75,4.0,461
166,307.3863636363636,240.0,12.0,461
167,391.9047619047619,240.11904761904762,13.0,461
230,296.67391304347825,255.32608695652175,73.0,461
244,258.1111111111111,256.9111111111111,83.0,461
236,357.0731707317073,256.0975609756098,85.0,461
245,370.95454545454544,256.8636363636364,86.0,461
253,404.2432432432432,258.64864864864865,105.0,461
304,1281.5,265.0,132.0,461
228,101.89583333333333,255.125,228.0,461
270,312.4642857142857,259.39285714285717,270.0,461
321,291.1666666666667,239.3125,3.0,462
322,335.4339622641509,239.03773584905662,4.0,462
325,320.6818181818182,241.29545454545453,12.0,462
329,404.0,242.0,13.0,462
397,308.8,256.62,73.0,462
412,270.3,258.94,83.0,462
405,368.5128205128205,257.87179487179486,85.0,462
413,383.25531914893617,259.27659574468083,86.0,462
424,416.3157894736842,260.2894736842105,105.0,462
456,1274.090909090909,263.09090909090907,132.0,462
400,96.44444444444444,257.7111111111111,228.0,462
421,324.02941176470586,259.94117647058823,270.0,462
318,164.67391304347825,238.8695652173913,318.0,462
319,126.51724137931035,239.41379310344828,319.0,462
320,212.77358490566039,239.35849056603774,320.0,462
334,266.3636363636364,243.0,334.0,462
351,357.90909090909093,243.8181818181818,351.0,462
356,1071.2307692307693,244.46153846153845,356.0,462
389,73.91666666666667,255.54166666666666,389.0,462
390,296.037037037037,255.22222222222223,390.0,462
394,113.75,256.20454545454544,394.0,462
396,254.65217391304347,256.9782608695652,396.0,462
401,156.26530612244898,258.7959183673469,401.0,462
402,192.85714285714286,258.6734693877551,402.0,462
403,239.62222222222223,258.0444444444444,403.0,462
420,141.35294117647058,259.05882352941177,420.0,462
459,846.2439024390244,264.0487804878049,459.0,462
490,303.6666666666667,240.83333333333334,3.0,463
489,348.1,239.88,4.0,463
495,333.125,242.875,12.0,463
500,416.76,243.78,13.0,463
565,320.9555555555556,257.44444444444446,73.0,463
578,282.1458333333333,260.375,83.0,463
571,379.9130434782609,259.30434782608694,85.0,463
590,396.08,260.68,86.0,463
599,427.8857142857143,261.54285714285714,105.0,463
626,1266.857142857143,265.87142857142857,132.0,463
569,108.72916666666667,258.9791666666667,228.0,463
598,334.96774193548384,261.64516129032256,270.0,463
487,178.0,239.95,318.0,463
486,137.82051282051282,239.87179487179486,319.0,463
488,225.87234042553192,239.82978723404256,320.0,463
499,275.86486486486484,243.8108108108108,334.0,463
515,369.6829268292683,245.6829268292683,351.0,463
509,1066.775,243.65,356.0,463
563,85.91666666666667,257.3125,389.0,463
561,307.57142857142856,256.39285714285717,390.0,463
564,125.34042553191489,257.3404255319149,394.0,463
570,267.17021276595744,258.93617021276594,396.0,463
575,168.55555555555554,260.15555555555557,401.0,463
576,204.5531914893617,260.36170212765956,402.0,463
577,252.11363636363637,259.6136363636364,403.0,463
589,152.58333333333334,260.2916666666667,420.0,463
624,842.8780487804878,265.4634146341463,459.0,463
498,244.63636363636363,243.4848484848485,498.0,463
513,928.5,245.5,513.0,463
514,1103.0,244.0,514.0,463
655,315.06,242.6,3.0,464
653,361.4117647058824,240.68627450980392,4.0,464
661,346.0,244.0,12.0,464
666,428.8095238095238,245.4047619047619,13.0,464
731,332.9591836734694,259.2244897959184,73.0,464
739,294.1666666666667,261.3125,83.0,464
741,391.22857142857146,260.74285714285713,85.0,464
751,408.7708333333333,261.7708333333333,86.0,464
752,434.44,262.6666666666667,105.0,464
789,1260.9583333333333,265.375,132.0,464
732,121.57777777777778,259.8666666666667,228.0,464
761,347.8611111111111,263.05555555555554,270.0,464
656,191.5,242.32142857142858,318.0,464
654,150.9375,242.1875,319.0,464
652,239.51923076923077,241.1346153846154,320.0,464
669,289.13157894736844,245.52631578947367,334.0,464
679,381.6530612244898,246.9795918367347,351.0,464
698,1061.5882352941176,248.6764705882353,356.0,464
729,98.53846153846153,258.9230769230769,389.0,464
727,318.61538461538464,257.5769230769231,390.0,464
726,137.3265306122449,258.46938775510205,394.0,464
734,279.1219512195122,259.5365853658537,396.0,464
749,180.4090909090909,261.65909090909093,401.0,464
750,215.84375,261.59375,402.0,464
