,x,y,particle_id,frame_number
0,422.0,36.0,0.0,1400
10,285.8095238095238,257.5952380952381,10.0,1400
11,150.73333333333332,258.84444444444443,11.0,1400
12,244.94,258.66,12.0,1400
14,393.5,259.5,14.0,1400
18,230.3,262.66,18.0,1400
19,259.74468085106383,263.36170212765956,19.0,1400
26,321.3636363636364,263.90909090909093,26.0,1400
34,48.744680851063826,266.78723404255317,34.0,1400
35,371.71666666666664,267.1333333333333,35.0,1400
42,101.9375,269.4375,42.0,1400
45,870.88,268.44,45.0,1400
52,171.89361702127658,271.40425531914894,52.0,1400
60,191.6341463414634,273.4878048780488,60.0,1400
67,57.64705882352941,276.03921568627453,67.0,1400
69,412.89130434782606,276.04347826086956,69.0,1400
73,285.3829787234043,276.8085106382979,73.0,1400
74,395.6326530612245,277.0,74.0,1400
78,347.61224489795916,278.9591836734694,78.0,1400
81,322.921568627451,279.54901960784315,81.0,1400
89,219.23076923076923,281.11538461538464,89.0,1400
97,300.6222222222222,281.46666666666664,97.0,1400
105,425.9387755102041,284.2448979591837,105.0,1400
114,160.2127659574468,286.0851063829787,114.0,1400
118,117.93023255813954,287.3720930232558,118.0,1400
123,65.3953488372093,288.5348837209302,123.0,1400
124,335.26,288.76,124.0,1400
133,90.92,290.96,133.0,1400
147,318.06666666666666,292.55555555555554,147.0,1400
150,34.8936170212766,296.0,150.0,1400
151,359.3695652173913,296.39130434782606,151.0,1400
153,559.1,295.64,153.0,1400
174,193.69387755102042,300.7959183673469,174.0,1400
175,429.6857142857143,301.0285714285714,175.0,1400
177,58.23809523809524,301.5,177.0,1400
182,261.74468085106383,303.36170212765956,182.0,1400
191,287.9387755102041,305.44897959183675,191.0,1400
192,400.1136363636364,306.3181818181818,192.0,1400
194,335.0,306.5,194.0,1400
198,98.51851851851852,310.98148148148147,198.0,1400
199,22.568181818181817,312.0,199.0,1400
204,299.0,531.0,204.0,1400
205,110.0,540.0,205.0,1400
211,422.5,36.0,0.0,1401
224,297.3333333333333,258.07142857142856,10.0,1401
225,162.86666666666667,258.5111111111111,11.0,1401
223,258.531914893617,257.70212765957444,12.0,1401
228,406.5,259.57894736842104,14.0,1401
231,243.53846153846155,262.84615384615387,18.0,1401
232,272.26,262.94,19.0,1401
244,332.5,264.5,26.0,1401
248,61.702127659574465,266.8085106382979,34.0,1401
249,385.0,267.0,35.0,1401
256,114.88461538461539,269.1730769230769,42.0,1401
261,868.1162790697674,269.4651162790698,45.0,1401
266,183.95744680851064,271.70212765957444,52.0,1401
273,204.7608695652174,273.45652173913044,60.0,1401
278,69.88636363636364,275.6818181818182,67.0,1401
280,424.94117647058823,276.1372549019608,69.0,1401
287,297.1020408163265,276.6734693877551,73.0,1401
288,408.0,277.2173913043478,74.0,1401
297,360.76190476190476,279.5,78.0,1401
294,336.18518518518516,279.25925925925924,81.0,1401
301,231.8,280.73333333333335,89.0,1401
311,312.5681818181818,281.5681818181818,97.0,1401
320,438.28,284.12,105.0,1401
331,172.76190476190476,286.5,114.0,1401
336,129.88571428571427,287.45714285714286,118.0,1401
338,77.22,289.04,123.0,1401
339,347.96363636363634,288.7818181818182,124.0,1401
347,103.41818181818182,291.03636363636366,133.0,1401
363,329.82978723404256,292.8723404255319,147.0,1401
367,46.475,296.075,150.0,1401
373,372.1132075471698,296.79245283018867,151.0,1401
365,552.52,294.06,153.0,1401
388,206.10204081632654,300.6326530612245,174.0,1401
389,442.0769230769231,301.35897435897436,175.0,1401
393,70.89583333333333,302.125,177.0,1401
400,273.1219512195122,303.4634146341463,182.0,1401
405,300.2608695652174,305.5,191.0,1401
407,411.6744186046512,306.3953488372093,192.0,1401
406,346.45,306.2,194.0,1401
413,110.54166666666667,310.7708333333333,198.0,1401
414,34.37777777777778,311.53333333333336,199.0,1401
417,299.0,531.0,204.0,1401
418,109.875,540.125,205.0,1401
221,78.5,256.2,221.0,1401
222,21.46153846153846,257.84615384615387,222.0,1401
265,42.372093023255815,271.48837209302326,265.0,1401
322,457.3018867924528,284.8679245283019,322.0,1401
345,418.5,289.5,345.0,1401
362,30.510204081632654,293.3673469387755,362.0,1401
366,486.62857142857143,294.48571428571427,366.0,1401
394,456.6666666666667,302.2291666666667,394.0,1401
398,472.19607843137254,302.96078431372547,398.0,1401
424,422.2857142857143,36.0,0.0,1402
439,309.40425531914894,258.9574468085106,10.0,1402
438,174.89743589743588,258.87179487179486,11.0,1402
437,270.93617021276594,257.9148936170213,12.0,1402
440,419.3777777777778,260.46666666666664,14.0,1402
444,256.31481481481484,262.94444444444446,18.0,1402
448,284.23809523809524,263.5,19.0,1402
449,344.0,263.5,26.0,1402
462,75.12765957446808,267.21276595744683,34.0,1402
463,397.3333333333333,267.0,35.0,1402
470,127.08510638297872,268.6808510638298,42.0,1402
465,865.0217391304348,266.69565217391306,45.0,1402
487,195.62790697674419,272.51162790697674,52.0,1402
489,217.1904761904762,273.42857142857144,60.0,1402
495,82.07692307692308,275.75,67.0,1402
498,437.1904761904762,276.4047619047619,69.0,1402
502,310.72340425531917,276.74468085106383,73.0,1402
508,419.8695652173913,277.6521739130435,74.0,1402
518,372.8095238095238,279.5952380952381,78.0,1402
512,348.7450980392157,279.078431372549,81.0,1402
517,245.64583333333334,279.8125,89.0,1402
529,324.5,282.09090909090907,97.0,1402
541,450.921568627451,283.7647058823529,105.0,1402
555,184.6326530612245,286.81632653061223,114.0,1402
554,142.74468085106383,287.36170212765956,118.0,1402
564,89.9074074074074,289.037037037037,123.0,1402
565,360.42,288.64,124.0,1402
577,115.25,291.52272727272725,133.0,1402
584,341.52941176470586,292.80392156862746,147.0,1402
592,59.064516129032256,296.06451612903226,150.0,1402
597,384.1020408163265,297.0408163265306,151.0,1402
593,550.4074074074074,295.55555555555554,153.0,1402
612,218.1818181818182,300.29545454545456,174.0,1402
614,454.1463414634146,300.8292682926829,175.0,1402
620,83.66,302.7,177.0,1402
624,284.93617021276594,303.9148936170213,182.0,1402
629,312.1904761904762,305.4047619047619,191.0,1402
631,423.56,306.0,192.0,1402
630,358.9318181818182,305.8636363636364,194.0,1402
640,122.42307692307692,310.9230769230769,198.0,1402
639,46.19047619047619,311.4047619047619,199.0,1402
644,299.0,531.0,204.0,1402
645,110.0,540.0,205.0,1402
432,86.0,256.15384615384613,221.0,1402
436,30.5,257.5,222.0,1402
478,55.8780487804878,271.5365853658537,265.0,1402
549,468.9555555555556,286.7111111111111,322.0,1402
569,430.0263157894737,289.55263157894734,345.0,1402
588,43.254901960784316,293.62745098039215,362.0,1402
590,497.390243902439,294.5609756097561,366.0,1402
615,468.98,301.26,394.0,1402
621,484.3125,303.4166666666667,398.0,1402
496,176.98,276.26,483.0,1402
649,422.125,36.125,0.0,1403
665,321.3333333333333,259.2352941176471,10.0,1403
664,186.62962962962962,258.74074074074076,11.0,1403
662,283.6521739130435,258.0652173913044,12.0,1403
666,431.9024390243902,260.5365853658537,14.0,1403
670,267.93220338983053,263.06779661016947,18.0,1403
673,293.72222222222223,263.6111111111111,19.0,1403
674,356.5,263.42105263157896,26.0,1403
687,87.2127659574468,267.2340425531915,34.0,1403
688,409.64,267.6,35.0,1403
697,139.25531914893617,268.63829787234044,42.0,1403
686,860.5,265.4,45.0,1403
713,207.98039215686273,272.7843137254902,52.0,1403
717,228.51724137931035,273.2758620689655,60.0,1403
722,94.33962264150944,275.811320754717,67.0,1403
729,449.2325581395349,276.6511627906977,69.0,1403
